Ensemble,aq_sp_yield_min,fff,hksat_sf,liq_canopy_storage_scalar,sucsat_sf,watsat_sf,zbedrock_sf,wc2wjb0,jmaxb0,cv,d_max,frac_sat_soil_dsl_init,act25,n_baseflow,nstem,leafcn,stem_leaf,froot_leaf,FUN_fracfixers,slatop,krmax,dleaf,medlynintercept,medlynslope,kmax,psi50,rootprof_beta,baseflow_scalar,maximum_leaf_wetted_fraction,jmaxb1
LHC0001,0.017402064,1.782025308,8.533294526,1.695480651,6.409102775,1.145607047,1.031580511,0.904311686,0.010214408,0.018445234,38.92326966,0.777860776,77.69209765,1.143291357,0.435130144,19.68166854,2.587988298,1.521792206,0.923312433,0.088736941,1.13E-10,0.181966876,34469.58648,6.73607452,1.49E-07,-206906.2029,0.907572721,0.033384624,0.198161936,0.052875067
LHC0002,0.013061191,4.84953473,1.020689806,1.866498084,7.675395087,0.869724314,0.977073842,1.390407394,0.010241571,0.015484063,35.35085203,0.913286937,72.60441873,1.698503267,0.416385459,21.64437273,1.947322455,1.525630273,0.442426459,0.030934901,9.05E-11,0.227368458,25296.95551,4.3273919,8.83E-08,-241093.4791,0.892717655,0.078134831,0.030696699,0.055083398
LHC0003,0.019010743,1.199182549,9.153660532,0.837864181,9.419011727,0.95873659,0.810571408,1.188235506,0.015051582,0.013570451,37.29298143,0.83273752,97.98772811,1.150006246,0.437348279,29.85036453,2.688468071,1.258669218,0.43943337,0.056722537,1.48E-10,0.041257789,345.5980421,2.825655635,2.17E-07,-149315.0009,0.931888601,0.073700993,0.229670027,0.235845799
LHC0004,0.011911057,4.712624964,5.691271484,1.732984634,2.953946819,1.014609716,1.025792691,0.853970552,0.010279565,0.01142,42.89804243,0.748300185,91.74439364,1.429590329,0.408054324,22.69790049,2.247768163,1.69407328,0.401758215,0.093196968,1.53E-10,0.188170232,46806.57438,4.085502253,1.91E-07,-174386.9139,0.900078725,0.06309459,0.331481468,0.174625355
LHC0005,0.012277631,0.057160884,6.922051681,0.406954297,5.908697652,1.133845753,0.806449704,1.42492039,0.01878497,0.01368388,17.81621202,0.653486514,78.80205719,1.735449166,0.210929092,26.35683058,2.415368921,1.251775279,0.908278865,0.037414243,1.57E-10,0.050021418,18371.18746,3.737295473,1.85E-07,-351627.407,0.901215021,0.064613473,0.068955391,0.073834941
LHC0006,0.017060123,4.345997914,1.602585215,1.760028821,3.206159758,0.990294285,1.12356105,1.127787649,0.014988695,0.006401501,13.36523789,0.519515492,85.62655259,1.829901041,0.140740832,24.07832345,2.246612897,1.573593561,0.201065161,0.024566024,9.64E-11,0.219184927,11693.60853,4.00702881,1.30E-07,-224247.6766,0.884450894,0.046221421,0.073932398,0.227696619
LHC0007,0.016488159,3.05335358,7.891447223,0.971816685,8.354913164,0.864963054,0.96049382,1.186996951,0.012431504,0.006513612,25.77107387,0.615395079,105.3998033,1.182641127,0.281317206,28.69185426,2.729863039,1.334084213,0.754170932,0.077831022,7.76E-11,0.153195539,21708.91428,4.036095883,9.49E-08,-367357.8316,0.955898448,0.089588768,0.346410252,0.06825338
LHC0008,0.019184833,0.729365435,5.467905362,1.531324938,0.493567881,0.982163105,1.0724093,0.633884111,0.015769622,0.01467861,12.71370481,0.984578556,76.54048884,1.661233399,0.208858818,16.83742217,1.886882643,1.446056909,0.343551961,0.140992876,1.42E-10,0.058864006,32822.77771,4.114910777,1.51E-08,-367895.3243,0.924021359,0.013431412,0.162780132,0.178368275
LHC0009,0.014698492,4.357916688,3.526667143,1.221455237,8.597901055,1.075203895,1.083742039,1.098352399,0.012898022,0.019711174,41.11056073,0.529637546,93.40178192,1.047390462,0.0770755,18.1927518,1.982890963,1.730207665,0.603364235,0.029065018,1.52E-10,0.101557551,36984.58015,5.108799959,1.28E-07,-398100.6558,0.932710379,0.071949117,0.29024606,0.121533347
LHC0010,0.01362569,4.104120212,3.069652507,0.969745308,7.327998882,1.07157802,0.823704125,1.130138107,0.014243767,0.018475063,42.82754448,0.571388054,115.0630601,1.648278511,0.212348434,18.16778717,2.701912877,1.395024275,0.716621359,0.072644397,9.17E-11,0.019475485,1286.996094,5.089687092,1.06E-07,-283630.5469,0.911557231,0.0323047,0.218555452,0.094167627
