Time,Site,Variable,Obs,Def,Best,Top10_min,Top10_max
2018-01-31,TALL,GPP,0.8585655576304395,3.647363957512258,1.7319189806715372,0.963464189397837,2.9583812712526294
2018-02-28,TALL,GPP,0.7811255492043891,5.2826332575085715,2.6421775891043646,1.6198386804168907,4.162608046404142
2018-03-31,TALL,GPP,2.214719855465795,6.6820944205625805,3.186055142044942,1.9111668837684834,4.952985671013185
2018-04-30,TALL,GPP,3.6774902840518195,8.744103263232,4.508678748792751,2.1192340788417776,6.487942730310086
2018-05-31,TALL,GPP,6.652538510089806,9.663122693821936,5.581477240216434,2.575877213206144,7.699954553514577
2018-06-30,TALL,GPP,5.386565395149785,9.58696053696,5.526134927846745,2.2580296573617264,7.754175167770729
2018-07-31,TALL,GPP,5.519134755547523,9.076869518492904,5.101382510676518,2.242043685348659,7.3920893753577595
2018-08-31,TALL,GPP,6.46796030596126,8.041102716449032,4.508470463664715,0.4812493561295319,6.578530437391455
2018-09-30,TALL,GPP,3.6013606399750113,6.389883880704,3.880744775732451,0.026216330884905086,5.199577899133453
2018-10-31,TALL,GPP,2.169455252978522,4.9578429497806455,3.0043464970556077,0.06122481643684267,4.419316517518083
2018-12-31,TALL,GPP,1.2392547239930043,3.4665171375483874,1.817797225409194,0.06174205846632646,3.133906458347458
2019-01-31,TALL,GPP,1.158015002919552,3.397974904939355,1.6056680979343496,0.30006840890550907,2.9845072372960755
2019-02-28,TALL,GPP,1.5461964523050702,5.004334205485714,2.3622145907002134,1.4776708498166706,4.008815124911509
2019-04-30,TALL,GPP,6.0290868809753775,8.728043891328001,4.575036296637848,2.3516457485612636,6.5137276122356065
2019-05-31,TALL,GPP,7.27499200828618,9.467035639618064,5.397194418345564,2.3858037509080545,7.314886155646507
2019-06-30,TALL,GPP,8.60768584378812,9.506919860352001,5.379579439958388,2.3501249855846824,7.54095439142532
2019-07-31,TALL,GPP,5.9797283502677026,9.051925023545808,5.008516579148702,2.418151077617275,7.296147143271176
2019-08-31,TALL,GPP,4.683883270211449,8.260930975587096,4.541734968056223,2.207308405205867,6.7513817392952795
2019-09-30,TALL,GPP,3.8164095191444014,7.572784621824,4.301556683228186,1.7354882867268755,6.415311198743053
